indx,database,label_keyword,matched_label,category,score_type,environmental,social,governance,ethic,score_group,reason,note,,,,
27,shared,vegetarian,Vegetarian,Ethics,bonus,0,0,0,+5,vegetarian_ethics,"Indicates reduced reliance on animal products and supports animal welfare considerations, though less strictly than vegan products.",,,,,
28,shared,b-corp,Certified B Corporation,"Governance, Social, Ethics",bonus,0,+6,+10,+6,b_corp,"Certification evaluates a company’s social impact, governance practices, transparency, worker treatment, and environmental responsibility.",,,,,
29,shared,ohne-gentechnik,Ohne Gentechnik,"Ethics, Environmental",bonus,+2,0,0,+5,non_gmo,"Indicates products are produced without genetic engineering, addressing consumer concerns about food production methods and transparency.",,,,,
30,shared,regional,Regionalfenster,"Ethics, Environmental",bonus,+2,0,0,+5,regional_sourcing,"Provides transparency about product origin and supports regional sourcing, potentially reducing transport distances and increasing supply-chain transparency.",,,,,
31,shared,gepa,GEPA,"Social, Ethics",bonus,0,+8,0,+4,fairtrade_certification,"Promotes fair trade, fair producer compensation, responsible sourcing, and long-term partnerships with small producers.",,,,,
32,shared,cruelty-free,cruelty free,Ethics,bonus,0,0,0,+10,cruelty_free,,,,,,
33,shared,not-tested-on-animals,Not tested on animals,Ethics,bonus,0,0,0,+10,cruelty_free,,,,,,
34,open_beauty_facts,eco,Certified by Ecocert,Environmental,bonus,+8,0,0,0,organic_cosmetics,,,,,,
35,shared,nat,Natrue,Environmental,bonus,+8,0,0,0,natural_cosmetics,,,,,,
36,shared,without-microplastics,Without microplastics,Environmental,bonus,+8,0,0,+3,plastic_free,,,,,,
37,shared,recyclable,Fully recyclable packaging,Environmental,bonus,+5,0,0,0,recyclable_packaging,,,,,,
38,open_products_facts,ecolabel,EU Ecolabel,Environmental,bonus,+8,0,0,0,eu_ecolabel,,,,,,
39,open_products_facts,blue,Blue Angel (Blauer Engel),Environmental,bonus,+10,0,0,0,blue_angel,,,,,,
40,open_food_facts,Ecoscore,Eco-Score F,Environmental,baseline,5,0,0,0,eco_score,,,,,,
